network
Node 0 [0, 12, 0, 25, 0, 0, 0, 4533, 8, 4271, 0, 0, 0, 2, 0, 0, 0, 1, 0, 9]
Node 1 [0, 0, 1054, 25, 1, 0, 0, 4533, 8, 0, 1, 4, 7, 2, 0, 4, 2, 1, 9, 9]
Node 2 [3, 0, 0, 0, 1, 36, 0, 0, 0, 0, 1, 4, 7, 2, 0, 4, 0, 0, 9, 9]
Node 3 [3, 0, 0, 25, 1, 0, 0, 0, 8, 0, 1, 0, 7, 0, 10441, 0, 2, 1, 9, 0]
Node 4 [3, 0, 1054, 0, 0, 0, 0, 4533, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]
Node 5 [0, 0, 0, 25, 0, 36, 0, 4533, 0, 4271, 0, 4, 0, 0, 10441, 0, 0, 1, 0, 9]
Node 6 [3, 12, 0, 25, 0, 0, 46, 0, 0, 4271, 1, 4, 0, 2, 0, 0, 0, 1, 9, 0]
Node 7 [0, 0, 1054, 0, 0, 36, 46, 0, 8, 0, 0, 4, 7, 0, 0, 4, 2, 1, 9, 9]
Node 8 [3, 12, 1054, 25, 1, 36, 46, 4533, 8, 4271, 0, 0, 7, 2, 10441, 0, 2, 1, 0, 9]
Node 9 [0, 0, 0, 0, 0, 36, 0, 0, 8, 0, 1, 4, 0, 2, 0, 4, 2, 1, 0, 0]
Node 10 [3, 0, 1054, 0, 0, 36, 0, 0, 8, 4271, 1, 0, 0, 0, 10441, 0, 2, 1, 0, 9]
Node 11 [0, 0, 0, 25, 0, 36, 46, 0, 0, 4271, 1, 0, 0, 0, 10441, 4, 0, 0, 9, 9]
Node 12 [3, 0, 0, 25, 0, 36, 0, 4533, 0, 4271, 0, 4, 7, 2, 10441, 0, 0, 1, 9, 0]
Node 13 [0, 0, 1054, 25, 1, 0, 46, 0, 8, 0, 0, 0, 7, 2, 10441, 0, 0, 1, 9, 0]
Node 14 [0, 0, 1054, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 2, 10441, 0, 2, 1, 9, 9]
Node 15 [0, 0, 1054, 25, 0, 0, 46, 0, 8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 9]
